Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,5.15984,5.19834,5.1336,5.15974,5.15974,0.0
2017-01-03,5.17746,5.20604,5.16605,5.17695,5.17695,0.0
2017-01-04,5.15349,5.16864,5.1178,5.14884,5.14884,0.0
2017-01-05,5.12646,5.13624,5.0972,5.12493,5.12493,0.0
2017-01-06,5.10934,5.11142,5.07715,5.10944,5.10944,0.0
2017-01-09,5.06794,5.07034,5.03514,5.06794,5.06794,0.0
2017-01-10,5.03344,5.03344,4.99334,5.03244,5.03244,0.0
2017-01-11,5.03994,5.05502,5.02004,5.03513,5.03513,0.0
2017-01-12,5.03324,5.05627,5.00999,5.03424,5.03424,0.0
2017-01-13,5.00614,5.02404,4.98408,5.00554,5.00554,0.0
2017-01-16,4.96244,4.9955,4.94994,4.96414,4.96414,0.0
2017-01-17,4.96412,5.06044,4.96081,4.96452,4.96452,0.0
2017-01-18,5.04958,5.05074,5.02054,5.04881,5.04881,0.0
2017-01-19,5.02817,5.07322,5.02275,5.02811,5.02811,0.0
2017-01-20,5.05953,5.06166,5.03631,5.05794,5.05794,0.0
2017-01-23,5.04926,5.08519,5.04194,5.0488,5.0488,0.0
2017-01-24,5.0879,5.09753,5.05395,5.08773,5.08773,0.0
2017-01-25,5.10117,5.11594,5.0908,5.09997,5.09997,0.0
2017-01-26,5.11421,5.14112,5.085,5.11422,5.11422,0.0
2017-01-27,5.12007,5.12775,5.07608,5.1198,5.1198,0.0
2017-01-30,5.08702,5.0985,5.06563,5.08884,5.08884,0.0
2017-01-31,5.05784,5.07383,5.01421,5.05796,5.05796,0.0
2017-02-01,5.03508,5.08511,5.02928,5.03544,5.03544,0.0
2017-02-02,5.06066,5.0645,4.99314,5.05599,5.05599,0.0
2017-02-03,5.01751,5.02691,4.9697,5.01844,5.01844,0.0
2017-02-06,4.97494,4.99112,4.96362,4.97407,4.97407,0.0
2017-02-07,4.98226,4.99977,4.95105,4.98164,4.98164,0.0
2017-02-08,5.03886,5.06704,5.03289,5.03861,5.03861,0.0
2017-02-09,5.04918,5.08309,5.04586,5.05005,5.05005,0.0
2017-02-10,5.05383,5.06463,5.02595,5.05444,5.05444,0.0
2017-02-13,5.04594,5.09173,5.0445,5.04664,5.04664,0.0
2017-02-14,5.09244,5.09526,5.03611,5.09102,5.09102,0.0
2017-02-15,5.06894,5.08273,5.04442,5.07021,5.07021,0.0
2017-02-16,5.0661,5.08078,5.05509,5.06654,5.06654,0.0
2017-02-17,5.04859,5.06827,5.03784,5.04958,5.04958,0.0
2017-02-20,5.06009,5.08263,5.05734,5.06184,5.06184,0.0
2017-02-21,5.07224,5.09093,5.06779,5.07164,5.07164,0.0
2017-02-22,5.08499,5.11004,5.08233,5.08644,5.08644,0.0
2017-02-23,5.07194,5.09947,5.04561,5.07165,5.07165,0.0
2017-02-24,5.10064,5.10772,5.0838,5.10094,5.10094,0.0
2017-02-27,5.06844,5.07651,5.04819,5.06704,5.06704,0.0
2017-02-28,5.06557,5.07349,5.04902,5.06554,5.06554,0.0
2017-03-01,5.04123,5.05046,5.00561,5.04111,5.04111,0.0
2017-03-02,4.98374,5.02647,4.98198,4.98366,4.98366,0.0
2017-03-03,5.01769,5.02081,4.96636,5.01809,5.01809,0.0
2017-03-06,4.97777,4.9986,4.96765,4.98084,4.98084,0.0
2017-03-07,4.98057,4.98437,4.95873,4.98229,4.98229,0.0
2017-03-08,4.968,4.97597,4.95649,4.96824,4.96824,0.0
2017-03-09,4.97228,4.98358,4.95496,4.97159,4.97159,0.0
2017-03-10,4.96792,4.96974,4.93777,4.96599,4.96599,0.0
2017-03-13,4.93349,4.98013,4.93144,4.9333,4.9333,0.0
2017-03-14,4.96174,4.96194,4.92785,4.96084,4.96084,0.0
2017-03-15,4.9446,4.97314,4.94138,4.94385,4.94385,0.0
2017-03-16,4.93158,4.95975,4.91831,4.9319,4.9319,0.0
2017-03-17,4.93912,4.95313,4.9281,4.93837,4.93837,0.0
2017-03-20,4.9368,4.94772,4.91598,4.9374,4.9374,0.0
2017-03-21,4.90946,4.93887,4.89444,4.90969,4.90969,0.0
2017-03-22,4.93746,4.95674,4.92184,4.93733,4.93733,0.0
2017-03-23,4.94508,4.96641,4.94068,4.94573,4.94573,0.0
2017-03-24,4.94943,4.94979,4.91823,4.94944,4.94944,0.0
2017-03-27,4.91805,4.93968,4.90635,4.9182,4.9182,0.0
2017-03-28,4.90884,4.93142,4.87536,4.90885,4.90885,0.0
2017-03-29,4.86775,4.91216,4.85428,4.86797,4.86797,0.0
2017-03-30,4.88314,4.91919,4.87501,4.88419,4.88419,0.0
2017-03-31,4.91483,4.96593,4.90954,4.91537,4.91537,0.0
2017-04-03,4.97023,4.97915,4.94892,4.96949,4.96949,0.0
2017-04-04,4.95531,4.9828,4.93414,4.95565,4.95565,0.0
2017-04-05,4.94859,4.96794,4.94441,4.94649,4.94649,0.0
2017-04-06,4.94874,4.97638,4.93192,4.94927,4.94927,0.0
2017-04-07,4.95546,4.95884,4.92248,4.95494,4.95494,0.0
2017-04-10,4.93638,4.96809,4.93314,4.93324,4.93324,0.0
2017-04-11,4.96175,4.9988,4.96034,4.96164,4.96164,0.0
2017-04-12,5.00014,5.0091,4.98955,5.00015,5.00015,0.0
2017-04-13,4.99473,5.00739,4.99304,4.99479,4.99479,0.0
2017-04-14,5.00024,5.00924,4.98864,5.00024,5.00024,0.0
2017-04-17,5.00261,5.0244,4.99556,5.00183,5.00183,0.0
2017-04-18,5.0087,5.05163,4.97684,5.00846,5.00846,0.0
2017-04-19,5.06261,5.08693,5.05794,5.06247,5.06247,0.0
2017-04-20,5.07524,5.09457,5.06294,5.07684,5.07684,0.0
2017-04-21,5.09244,5.12051,5.08709,5.09291,5.09291,0.0
2017-04-24,5.01989,5.02824,4.97623,5.01954,5.01954,0.0
2017-04-25,4.99033,4.99787,4.95321,4.99031,4.99031,0.0
